,price,Address,area,Bedrooms,Bathrooms,Status,Furnished_status,Price_sqft
0,5600000.0,"Noida Extension, Noida, Delhi NCR",1350.0,3.0,3.0,Under Construction,Unfurnished,4148.148148148148
1,8800000.0,"Sector 79, Gurgaon, Delhi NCR",1490.0,3.0,3.0,Ready to Move,Semi-Furnished,5906.040268456376
2,16500000.0,"Vaishali, Ghaziabad, Delhi NCR",2385.0,4.0,5.0,Ready to Move,Unfurnished,6918.238993710692
3,3810000.0,other,1050.0,2.0,2.0,Ready to Move,Unfurnished,3628.571428571429
4,6200000.0,other,1350.0,2.0,2.0,Ready to Move,Unfurnished,4592.592592592592
5,3700000.0,other,1150.0,2.0,2.0,Ready to Move,Unfurnished,3217.391304347826
6,3270000.0000000005,other,890.0,2.0,2.0,Ready to Move,Unfurnished,3674.157303370787
7,3990000.0,other,850.0,2.0,2.0,Ready to Move,Unfurnished,4694.117647058823
8,3500000.0,other,960.0,2.0,2.0,Ready to Move,Unfurnished,3645.8333333333335
9,5500000.0,other,1400.0,3.0,3.0,Ready to Move,Unfurnished,3928.571428571429
10,7300000.0,other,850.0,3.0,2.0,Ready to Move,Semi-Furnished,8588.235294117647
11,7700000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1250.0,2.0,2.0,Ready to Move,Unfurnished,6160.0
12,10500000.0,other,1615.0,3.0,3.0,Ready to Move,Unfurnished,6501.547987616099
13,7200000.0,other,1200.0,2.0,2.0,Ready to Move,Unfurnished,6000.0
14,7000000.0,other,1690.0,3.0,3.0,Ready to Move,Unfurnished,4142.011834319526
15,9500000.0,other,1000.0,3.0,2.0,Ready to Move,Semi-Furnished,9500.0
16,15000000.0,other,1450.0,4.0,3.0,Ready to Move,Semi-Furnished,10344.827586206897
17,4800000.0,"Noida Extension, Noida, Delhi NCR",1175.0,2.0,2.0,Ready to Move,Unfurnished,4085.106382978724
18,5100000.0,other,1087.0,2.0,2.0,Ready to Move,Semi-Furnished,4691.8123275069
19,14000000.0,other,1845.0,3.0,3.0,Ready to Move,Semi-Furnished,7588.075880758807
20,6250000.0,"Sector 37C, Gurgaon, Delhi NCR",1400.0,2.0,2.0,Ready to Move,Unfurnished,4464.285714285715
21,8700000.0,other,1600.0,3.0,2.0,Ready to Move,Unfurnished,5437.5
22,13000000.0,other,1950.0,3.0,3.0,Ready to Move,Unfurnished,6666.666666666667
23,15000000.0,other,1800.0,2.0,3.0,Ready to Move,Unfurnished,8333.333333333334
24,5500000.0,other,1440.0,3.0,2.0,Ready to Move,Unfurnished,3819.444444444444
25,4200000.0,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040.0,2.0,2.0,Ready to Move,Unfurnished,4038.4615384615386
26,3900000.0,other,1025.0,2.0,2.0,Ready to Move,Unfurnished,3804.878048780488
27,10000000.0,other,1836.0,3.0,2.0,Ready to Move,Semi-Furnished,5446.623093681917
28,7600000.0,other,1350.0,3.0,2.0,Ready to Move,Unfurnished,5629.62962962963
29,3900000.0,other,800.0,2.0,2.0,Ready to Move,Unfurnished,4875.0
30,9000000.0,other,1481.0,2.0,2.0,Ready to Move,Unfurnished,6076.975016880486
31,8350000.0,other,1398.0,2.0,2.0,Ready to Move,Unfurnished,5972.818311874106
32,13500000.0,other,2150.0,3.0,3.0,Ready to Move,Unfurnished,6279.069767441861
33,5310000.0,"Shakti Khand 2, Ghaziabad, Delhi NCR",1100.0,3.0,2.0,Ready to Move,Furnished,4827.272727272727
34,15000000.0,"Sector 68, Gurgaon, Delhi NCR",1960.0,3.0,3.0,Ready to Move,Semi-Furnished,7653.061224489796
35,17500000.0,other,2450.0,3.0,3.0,Ready to Move,Unfurnished,7142.857142857143
36,5000000.0,other,1000.0,2.0,2.0,Ready to Move,Unfurnished,5000.0
37,3500000.0,other,850.0,2.0,2.0,Ready to Move,Furnished,4117.64705882353
38,4550000.0,other,950.0,3.0,2.0,Ready to Move,Semi-Furnished,4789.473684210527
39,4000000.0,other,700.0,2.0,2.0,Ready to Move,Unfurnished,5714.285714285715
40,3500000.0,other,750.0,2.0,2.0,Ready to Move,Semi-Furnished,4666.666666666667
41,3500000.0,other,950.0,2.0,2.0,Ready to Move,Unfurnished,3684.2105263157896
42,2400000.0,other,540.0,2.0,2.0,Ready to Move,Semi-Furnished,4444.444444444444
43,80000000.0,other,5571.0,5.0,5.0,Ready to Move,Unfurnished,14360.078980434391
44,9500000.0,other,1200.0,2.0,2.0,Ready to Move,Semi-Furnished,7916.666666666667
45,10500000.0,other,1020.0,2.0,2.0,Ready to Move,Unfurnished,10294.117647058823
46,7500000.0,other,1505.0,2.0,2.0,Ready to Move,Unfurnished,4983.388704318937
47,4800000.0,other,1232.0,6.0,3.0,Ready to Move,Unfurnished,3896.103896103896
48,5600000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",929.0,2.0,2.0,Ready to Move,Unfurnished,6027.987082884823
49,8500000.0,"Vaishali, Ghaziabad, Delhi NCR",1350.0,3.0,3.0,Ready to Move,Unfurnished,6296.2962962962965
50,4700000.0,other,1085.0,2.0,2.0,Ready to Move,Unfurnished,4331.797235023041
51,8500000.0,other,1790.0,3.0,3.0,Ready to Move,Unfurnished,4748.603351955308
52,10000000.0,other,1689.0,3.0,3.0,Ready to Move,Semi-Furnished,5920.663114268798
53,18000000.0,other,2411.0,3.0,3.0,Ready to Move,Unfurnished,7465.781833264205
54,12400000.0,other,1650.0,3.0,2.0,Ready to Move,Unfurnished,7515.151515151515
55,7700000.0,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1685.0,3.0,4.0,Ready to Move,Unfurnished,4569.73293768546
56,6000000.0,"Vaishali, Ghaziabad, Delhi NCR",1050.0,2.0,2.0,Ready to Move,Unfurnished,5714.285714285715
57,12500000.0,other,1300.0,2.0,2.0,Ready to Move,Unfurnished,9615.384615384615
58,6380000.0,other,1170.0,3.0,2.0,Ready to Move,Semi-Furnished,5452.991452991453
59,7400000.0,other,1275.0,2.0,2.0,Ready to Move,Semi-Furnished,5803.921568627451
60,8400000.0,other,1890.0,3.0,3.0,Ready to Move,Unfurnished,4444.444444444444
61,6400000.0,other,1455.0,3.0,2.0,Ready to Move,Unfurnished,4398.625429553264
62,19000000.0,other,1768.0,3.0,2.0,Ready to Move,Unfurnished,10746.606334841628
